feature,feature_group,mean_abs_shap,status
age,customer_metadata,0.051813257299363494,shap
section_no,article_metadata,0.05058461673557748,shap
product_group_name,article_metadata,0.04748295873403549,shap
colour_group_code,article_metadata,0.041036234647035555,shap
FN,customer_metadata,0.03433765241503713,shap
garment_group_name,article_metadata,0.02710145807266236,shap
index_group_name,article_metadata,0.020791194885969054,shap
graphical_appearance_name,article_metadata,0.017988025188446048,shap
department_name,article_metadata,0.01622301402688027,shap
perceived_colour_master_id,article_metadata,0.01592203825712186,shap
product_type_name,article_metadata,0.012905537635087911,shap
index_name,article_metadata,0.009852059483528117,shap
index_code,article_metadata,0.008423287272453306,shap
colour_group_name,article_metadata,0.007657366096973432,shap
section_name,article_metadata,0.007296056360006334,shap
graphical_appearance_no,article_metadata,0.005533867031335809,shap
fashion_news_frequency,customer_metadata,0.005259377770125892,shap
index_group_no,article_metadata,0.00432711297273639,shap
perceived_colour_master_name,article_metadata,0.0036044659018517047,shap
product_code,article_metadata,0.0033495216071605695,shap
product_type_no,article_metadata,0.002683857768774017,shap
Active,customer_metadata,0.0011752733290195415,shap
perceived_colour_value_id,article_metadata,0.0009642726182937442,shap
garment_group_no,article_metadata,0.0004419927895069211,shap
department_no,article_metadata,7.402747869500743e-06,shap
club_member_status,customer_metadata,0.0,shap
perceived_colour_value_name,article_metadata,0.0,shap
