feature,feature_type,feature_group,baseline_auc_roc,permuted_auc_roc,auc_drop,baseline_accuracy,permuted_accuracy,accuracy_drop
section_name,categorical,article_categorical,0.7254328768607404,0.6782861453963005,0.04714673146443993,0.6677,0.6597,0.008000000000000007
department_name,categorical,article_categorical,0.7254328768607404,0.7018384430414614,0.02359443381927906,0.6677,0.6675,0.00019999999999997797
product_type_name,categorical,article_categorical,0.7254328768607404,0.7077831389920973,0.0176497378686431,0.6677,0.6658,0.0019000000000000128
age,numeric,customer_numeric,0.7254328768607404,0.7102161625132909,0.015216714347449534,0.6677,0.6632,0.0044999999999999485
product_code,numeric,article_numeric,0.7254328768607404,0.7115959223981132,0.013836954462627227,0.6677,0.66125,0.006449999999999956
colour_group_name,categorical,article_categorical,0.7254328768607404,0.7124152756700936,0.013017601190646877,0.6677,0.66425,0.003449999999999953
index_group_name,categorical,article_categorical,0.7254328768607404,0.7125359204411394,0.01289695641960098,0.6677,0.66265,0.005049999999999999
graphical_appearance_name,categorical,article_categorical,0.7254328768607404,0.7134237238885743,0.012009152972166093,0.6677,0.66535,0.0023499999999999632
index_code,categorical,article_categorical,0.7254328768607404,0.7146085856749438,0.010824291185796642,0.6677,0.6685,-0.0008000000000000229
garment_group_name,categorical,article_categorical,0.7254328768607404,0.7162462340301874,0.009186642830553038,0.6677,0.66455,0.003149999999999986
index_name,categorical,article_categorical,0.7254328768607404,0.7214091255223006,0.004023751338439796,0.6677,0.66965,-0.0019500000000000073
perceived_colour_master_name,categorical,article_categorical,0.7254328768607404,0.7221198174475867,0.0033130594131537405,0.6677,0.66625,0.0014499999999999513
department_no,numeric,article_numeric,0.7254328768607404,0.7229412420676935,0.0024916347930469263,0.6677,0.67125,-0.003550000000000053
product_type_no,numeric,article_numeric,0.7254328768607404,0.7239340313446305,0.0014988455161099035,0.6677,0.6665,0.0011999999999999789
perceived_colour_value_name,categorical,article_categorical,0.7254328768607404,0.7240037423406838,0.001429134520056663,0.6677,0.6678,-9.999999999998899e-05
product_group_name,categorical,article_categorical,0.7254328768607404,0.7242923013979033,0.001140575462837079,0.6677,0.66925,-0.0015500000000000513
colour_group_code,numeric,article_numeric,0.7254328768607404,0.72473977450854,0.0006931023522004365,0.6677,0.66655,0.0011499999999999844
perceived_colour_value_id,numeric,article_numeric,0.7254328768607404,0.7249244734689348,0.0005084033918055786,0.6677,0.6669,0.0007999999999999119
fashion_news_frequency,categorical,customer_categorical,0.7254328768607404,0.7249936047126593,0.000439272148081149,0.6677,0.6671,0.0005999999999999339
garment_group_no,numeric,article_numeric,0.7254328768607404,0.7250157929037324,0.00041708395700801315,0.6677,0.66555,0.0021499999999999853
perceived_colour_master_id,numeric,article_numeric,0.7254328768607404,0.7251998895971449,0.0002329872635955521,0.6677,0.66715,0.0005499999999999394
index_group_no,numeric,article_numeric,0.7254328768607404,0.7253541937752477,7.868308549274783e-05,0.6677,0.6676,9.999999999998899e-05
club_member_status,categorical,customer_categorical,0.7254328768607404,0.7253614941516611,7.138270907935951e-05,0.6677,0.66785,-0.0001500000000000945
FN,numeric,customer_numeric,0.7254328768607404,0.7254328768607404,0.0,0.6677,0.6677,0.0
Active,numeric,customer_numeric,0.7254328768607404,0.7254328768607404,0.0,0.6677,0.6677,0.0
section_no,numeric,article_numeric,0.7254328768607404,0.7254523013780904,-1.942451734993078e-05,0.6677,0.6672,0.0004999999999999449
graphical_appearance_no,numeric,article_numeric,0.7254328768607404,0.7254578850121708,-2.500815143036128e-05,0.6677,0.6677,0.0
