example_id,customer_id,candidate_article_id,candidate_prod_name,candidate_product_type,candidate_colour,candidate_image_path,similar_history_rank,history_article_id,history_prod_name,history_product_type,history_colour,history_image_path,cosine_similarity,explanation
1,0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,0673677002,Henry polo. (1),Sweater,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\067\0673677002.jpg,1,0666448006,Janet sweater,Sweater,Blue,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\066\0666448006.jpg,0.6237314343452454,Candidate 0673677002 is visually similar to customer history item 0666448006 with cosine similarity 0.6237.
1,0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,0673677002,Henry polo. (1),Sweater,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\067\0673677002.jpg,2,0639677008,Portofino ISW 28,Shirt,Light Blue,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\063\0639677008.jpg,0.5887702703475952,Candidate 0673677002 is visually similar to customer history item 0639677008 with cosine similarity 0.5888.
1,0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,0673677002,Henry polo. (1),Sweater,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\067\0673677002.jpg,3,0521269001,Sirpa mockneck,Sweater,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\052\0521269001.jpg,0.5150772333145142,Candidate 0673677002 is visually similar to customer history item 0521269001 with cosine similarity 0.5151.
1,0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,0673677002,Henry polo. (1),Sweater,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\067\0673677002.jpg,4,0583558001,Noel denim dress,Dress,Blue,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\058\0583558001.jpg,0.3866880238056183,Candidate 0673677002 is visually similar to customer history item 0583558001 with cosine similarity 0.3867.
2,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,0413707001,Fancy Leggings,Leggings/Tights,Dark Grey,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\041\0413707001.jpg,1,0550718001,Chamonix ski pants,Trousers,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\055\0550718001.jpg,0.5629107356071472,Candidate 0413707001 is visually similar to customer history item 0550718001 with cosine similarity 0.5629.
2,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,0413707001,Fancy Leggings,Leggings/Tights,Dark Grey,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\041\0413707001.jpg,2,0583533001,Liam denim dress,Dress,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\058\0583533001.jpg,0.4045233726501465,Candidate 0413707001 is visually similar to customer history item 0583533001 with cosine similarity 0.4045.
2,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,0413707001,Fancy Leggings,Leggings/Tights,Dark Grey,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\041\0413707001.jpg,3,0685687004,W YODA KNIT OL OFFER,Sweater,Dark Green,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\068\0685687004.jpg,0.3968695402145386,Candidate 0413707001 is visually similar to customer history item 0685687004 with cosine similarity 0.3969.
2,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,0413707001,Fancy Leggings,Leggings/Tights,Dark Grey,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\041\0413707001.jpg,4,0685687003,W YODA KNIT OL OFFER,Sweater,Pink,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\068\0685687003.jpg,0.3942829966545105,Candidate 0413707001 is visually similar to customer history item 0685687003 with cosine similarity 0.3943.
3,00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,0688873015,Gyda!,Blouse,Dark Blue,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\068\0688873015.jpg,1,0669713001,Zingo sweater,Sweater,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\066\0669713001.jpg,0.3398599326610565,Candidate 0688873015 is visually similar to customer history item 0669713001 with cosine similarity 0.3399.
3,00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,0688873015,Gyda!,Blouse,Dark Blue,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\068\0688873015.jpg,2,0648414022,Yate hood,Hoodie,Dark Blue,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\064\0648414022.jpg,0.1709081530570984,Candidate 0688873015 is visually similar to customer history item 0648414022 with cosine similarity 0.1709.
3,00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,0688873015,Gyda!,Blouse,Dark Blue,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\068\0688873015.jpg,3,0648414019,Yate hood,Hoodie,White,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\064\0648414019.jpg,0.1322801113128662,Candidate 0688873015 is visually similar to customer history item 0648414019 with cosine similarity 0.1323.
3,00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,0688873015,Gyda!,Blouse,Dark Blue,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\068\0688873015.jpg,4,0573085029,Madison skinny HW (1),Trousers,Other,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\057\0573085029.jpg,0.0887274518609047,Candidate 0688873015 is visually similar to customer history item 0573085029 with cosine similarity 0.0887.
